X	Y
39.041985	-5.36686
39.040344	-5.369346
39.039211	-5.372077
39.0373	-5.379909
39.036152	-5.382667
39.032627	-5.389879
39.028202	-5.397744
39.021943	-5.403646
39.020019	-5.404862
39.01961	-5.405904
39.018903	-5.406143
39.017656	-5.407232
39.01754	-5.408185
39.017139	-5.408567
39.016233	-5.407974
39.015759	-5.407949
39.014094	-5.408714
39.013466	-5.408754
39.013247	-5.408075
39.012755	-5.407348
39.01283	-5.406835
39.013314	-5.406733
39.013543	-5.406372
39.013228	-5.405148
39.012522	-5.404576
39.011057	-5.404375
39.009697	-5.404549
39.008582	-5.404947
39.00828	-5.404891
39.006165	-5.405934
39.003981	-5.407859
39.003417	-5.407765
39.001787	-5.408187
39.000963	-5.408559
38.999891	-5.409128
38.998959	-5.40996
38.99833	-5.41093
38.997892	-5.411053
38.997229	-5.411556
38.996991	-5.411115
38.996865	-5.409773
38.996558	-5.409569
38.995061	-5.409401
38.993931	-5.409894
38.992316	-5.41115
38.990819	-5.413123
38.988927	-5.416178
38.985868	-5.422492
38.984653	-5.424358
38.983606	-5.425496
38.982945	-5.426622
38.986865	-5.428881
38.986679	-5.431964
38.987028	-5.434351
38.98863	-5.437578
38.986026	-5.437985
38.986861	-5.440987
38.988493	-5.444243
38.989078	-5.444762
38.99106	-5.445244
38.993768	-5.446551
38.995172	-5.447656
38.996476	-5.448058
38.997077	-5.446651
38.998381	-5.445847
38.998381	-5.446651
38.999986	-5.451175
39.000086	-5.453688
38.998582	-5.454492
38.99788	-5.455799
38.99798	-5.457407
38.999184	-5.459015
38.998381	-5.463036
38.996265	-5.462341
38.996941	-5.46504
38.994633	-5.47885
38.993908	-5.481763
38.992744	-5.484514
38.987808	-5.492053
38.98642	-5.494702
38.984455	-5.499388
38.981913	-5.500973
38.981101	-5.503515
38.978889	-5.514305
38.977574	-5.518736
38.976184	-5.521546
38.971752	-5.526892
38.970711	-5.528663
38.969629	-5.531012
38.968895	-5.533402
38.968388	-5.536833
38.968024	-5.547094
38.967751	-5.54883
38.966823	-5.551836
38.965589	-5.553993
38.95672	-5.564152
38.950502	-5.569881
38.9482	-5.579048
38.941982	-5.590736
38.936197	-5.603418
38.935961	-5.606304
38.935379	-5.609199
38.93449	-5.611862
38.933912	-5.612826
38.932099	-5.615527
38.930481	-5.617185
38.923668	-5.621232
38.92024	-5.624164
38.916927	-5.627753
38.916001	-5.629027
38.915229	-5.631035
38.915264	-5.63289
38.915492	-5.634242
38.915375	-5.635169
38.914487	-5.637216
38.913293	-5.63849
38.912908	-5.638683
38.91187	-5.638721
38.909871	-5.638371
38.908258	-5.637172
38.906147	-5.635007
38.904494	-5.634271
38.903149	-5.634038
38.900688	-5.634114
38.897917	-5.635387
38.895529	-5.637704
38.893022	-5.641683
38.891596	-5.643422
38.89013	-5.646166
