X	Y
39.077574	-6.611464
39.075053	-6.611927
39.074348	-6.614132
39.075217	-6.61663
39.07698	-6.617891
39.077586	-6.620482
39.07701	-6.622552
39.072883	-6.62626
39.072551	-6.628306
39.072673	-6.630419
39.070182	-6.631717
39.069827	-6.634419
39.072707	-6.634208
39.07322	-6.636305
39.066844	-6.636151
39.063113	-6.636618
39.06006	-6.63389
39.060209	-6.634559
39.059467	-6.637232
39.043575	-6.636714
39.036223	-6.635675
39.03704	-6.633521
39.020206	-6.614686
39.001937	-6.625006
39.002487	-6.627761
39.001787	-6.631725
39.000621	-6.63499
38.998056	-6.638021
38.988566	-6.637713
38.981631	-6.641331
38.976505	-6.642839
38.965046	-6.644346
38.955697	-6.655804
38.951064	-6.655896
38.940029	-6.660955
38.923744	-6.664571
38.904144	-6.663663
38.89015	-6.661314
38.888038	-6.665837
38.88968	-6.667733
38.894052	-6.670298
38.894956	-6.673765
38.897309	-6.679721
38.897078	-6.679802
38.897125	-6.680305
38.897925	-6.681918
38.897603	-6.683511
38.896698	-6.684882
38.895671	-6.685868
38.894838	-6.686967
38.893617	-6.687956
38.892807	-6.688048
38.891389	-6.688769
38.890324	-6.689872
38.88006	-6.687336
38.866778	-6.685059
38.862707	-6.682797
38.858993	-6.681735
38.859569	-6.679207
38.860268	-6.677026
38.860442	-6.675899
38.860436	-6.673187
38.860046	-6.670637
38.859123	-6.668638
38.858055	-6.667184
38.855871	-6.66602
38.854775	-6.665225
38.853866	-6.66404
38.851281	-6.664316
38.846441	-6.663895
38.845676	-6.664373
38.843856	-6.66421
38.842921	-6.663799
38.841304	-6.661889
38.840906	-6.661199
38.839966	-6.660478
38.835691	-6.659156
38.833872	-6.659031
38.832753	-6.659167
38.826086	-6.658117
38.824217	-6.657373
38.821441	-6.655521
38.819883	-6.654811
38.819109	-6.654746
38.818224	-6.655032
38.817344	-6.655551
38.815877	-6.655731
38.815333	-6.655546
38.815095	-6.655163
38.814605	-6.653659
38.811977	-6.651417
38.811071	-6.650386
38.809935	-6.649513
38.809612	-6.648705
38.809522	-6.64797
38.809603	-6.643589
38.80902	-6.641079
38.807774	-6.63827
38.805474	-6.634859
38.803875	-6.631746
38.803344	-6.630049
38.802998	-6.627884
38.803023	-6.627031
38.803724	-6.625043
38.80425	-6.624143
38.805254	-6.621723
38.805894	-6.620705
38.807107	-6.619289
38.807971	-6.617725
38.808695	-6.617093
38.809452	-6.616111
38.810846	-6.613957
38.8121	-6.612657
38.812624	-6.609277
38.812918	-6.608342
38.813483	-6.602868
38.81403	-6.600882
38.815289	-6.597528
38.815538	-6.596245
38.815528	-6.595664
38.815173	-6.595244
38.814731	-6.594243
38.814754	-6.593352
38.816203	-6.589762
38.817006	-6.58692
38.817156	-6.584321
38.816743	-6.580491
38.81665	-6.577198
38.816716	-6.576538
38.817051	-6.575797
38.817653	-6.572454
38.817704	-6.570903
38.816849	-6.56832
38.816137	-6.567363
38.815078	-6.566488
38.814141	-6.565999
38.812861	-6.565749
38.811654	-6.565303
38.809972	-6.564167
38.809433	-6.564292
38.808632	-6.564964
38.807977	-6.565129
38.80755	-6.56502
38.805935	-6.563301
38.80504	-6.562967
38.804033	-6.562905
38.803738	-6.563763
38.803987	-6.564767
38.804814	-6.565606
